Schweizer Nährwertdatenbank – Generische Einträge V6.1 (28.03.2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,ID V 4.0,ID SwissFIR,Name,Synonyme,Kategorie,Dichte,Bezugseinheit,"Energie, Kilojoule",Herleitung des Wertes,Quelle,"Energie, Kalorien",Herleitung des Wertes,Quelle,"Fett, total (g)",Herleitung des Wertes,Quelle,"Fettsäuren, gesättigt (g)",Herleitung des Wertes,Quelle,"Fettsäuren, einfach ungesättigt (g)",Herleitung des Wertes,Quelle,"Fettsäuren, mehrfach ungesättigt (g)",Herleitung des Wertes,Quelle,Cholesterin (mg),Herleitung des Wertes,Quelle,"Kohlenhydrate, verfügbar (g)",Herleitung des Wertes,Quelle,Zucker (g),Herleitung des Wertes,Quelle,Stärke (g),Herleitung des Wertes,Quelle,Nahrungsfasern (g),Herleitung des Wertes,Quelle,Protein (g),Herleitung des Wertes,Quelle,Salz (NaCl) (g),Herleitung des Wertes,Quelle,Alkohol (g),Herleitung des Wertes,Quelle,Wasser (g),Herleitung des Wertes,Quelle,"Vitamin A-Aktivität, RE (µg-RE)",Herleitung des Wertes,Quelle,"Vitamin A-Aktivität, RAE (µg-RE)",Herleitung des Wertes,Quelle,All-trans Retinol-Äquivalente (µg-RE),Herleitung des Wertes,Quelle,Betacarotin-Aktivität (µg-BCE),Herleitung des Wertes,Quelle,Betacarotin (µg),Herleitung des Wertes,Quelle,Vitamin B1 (Thiamin) (mg),Herleitung des Wertes,Quelle,Vitamin B2 (Riboflavin) (mg),Herleitung des Wertes,Quelle,Vitamin B6 (Pyridoxin) (mg),Herleitung des Wertes,Quelle,Vitamin B12 (Cobalamin) (µg),Herleitung des Wertes,Quelle,Niacin (mg),Herleitung des Wertes,Quelle,Folat (µg),Herleitung des Wertes,Quelle,Pantothensäure (mg),Herleitung des Wertes,Quelle,Vitamin C (Ascorbinsäure) (mg),Herleitung des Wertes,Quelle,Vitamin D (Calciferol) (µg),Herleitung des Wertes,Quelle,Vitamin E-Aktivität (mg-ATE),Herleitung des Wertes,Quelle,Kalium (K) (mg),Herleitung des Wertes,Quelle,Natrium (Na) (mg),Herleitung des Wertes,Quelle,Chlorid (Cl) (mg),Herleitung des Wertes,Quelle,Calcium (Ca) (mg),Herleitung des Wertes,Quelle,Magnesium (Mg) (mg),Herleitung des Wertes,Quelle,Phosphor (P) (mg),Herleitung des Wertes,Quelle,Eisen (Fe) (mg),Herleitung des Wertes,Quelle,Jod (I) (µg),Herleitung des Wertes,Quelle,Zink (Zn)  (mg),Herleitung des Wertes,Quelle,Selen (Se) (µg),Herleitung des Wertes,Quelle,Geänderter Eintrag
509,4632,1001011,"Wein rot, 12 vol%",Rotwein,Alkoholhaltige Getränke/Wein,1,pro 100 ml,287,Automatisierte Berechnung,,69,Automatisierte Berechnung,,0,-,43,0,-,43,0,-,43,0,-,43,0,Schätzung,51,"0,3",-,43,"0,3",-,43,Sp.,-,43,0,-,43,"0,2",-,43,0,Automatisierte Berechnung,,"9,6",-,43,"89,6",-,43,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Schätzung,51,0,Schätzung,51,0,Schätzung,51,Sp.,-,43,"0,02",-,43,"0,02",-,43,0,-,43,"0,1",-,43,Sp.,-,43,"0,1",-,43,0,-,43,0,-,43,0,-,43,120,-,43,5,-,43,10,-,9,8,-,43,15,-,43,14,-,43,"0,9",-,43,10,-,9,"0,1",-,9,k.A.,,,Nein
10477,,,"Wein rot, 13.5 vol%",Rotwein,Alkoholhaltige Getränke/Wein,1,pro 100 ml,314,Automatisierte Berechnung,,76,Automatisierte Berechnung,,0,-,1030,k.A.,,,k.A.,,,k.A.,,,0,-,1030,"0,2",-,1030,"0,2",-,1030,0,-,1030,0,-,1030,0,-,1030,k.A.,,,"10,7",-,1030,89,-,1030,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,Nein
508,4690,1001010,"Wein rot, 9 vol%",Rotwein,Alkoholhaltige Getränke/Wein,1,pro 100 ml,224,Automatisierte Berechnung,,54,Automatisierte Berechnung,,0,-,43,0,-,43,0,-,43,0,-,43,0,Schätzung,51,"0,2",-,43,"0,2",-,43,Sp.,-,43,0,-,43,"0,2",-,43,0,Automatisierte Berechnung,,"7,5",-,43,92,-,43,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Schätzung,51,0,Schätzung,51,0,Schätzung,51,Sp.,-,43,"0,02",-,43,"0,02",-,43,0,-,43,"0,1",-,43,Sp.,-,43,"0,1",-,43,0,-,43,0,-,43,0,-,43,120,-,43,5,-,43,10,-,9,8,-,43,15,-,43,14,-,43,"0,9",-,43,10,-,9,"0,1",-,9,k.A.,,,Nein
510,4688,1001012,"Wein weiss, 11 vol%",Weisswein,Alkoholhaltige Getränke/Wein,1,pro 100 ml,291,Automatisierte Berechnung,,70,Automatisierte Berechnung,,0,-,43,0,-,43,0,-,43,0,-,43,0,Schätzung,51,2,-,43,2,-,43,Sp.,-,43,0,-,43,"0,1",-,43,0,Automatisierte Berechnung,,"8,8",-,43,89,-,43,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Schätzung,51,0,Schätzung,51,0,Schätzung,51,Sp.,-,43,Sp.,-,43,"0,02",-,43,0,-,43,"0,1",-,43,Sp.,-,43,"0,03",-,43,0,-,43,0,-,43,0,-,43,80,-,43,5,-,43,4,-,9,9,-,43,10,-,43,14,-,43,"0,3",-,43,10,-,43,"0,2",-,9,k.A.,,,Nein
511,4689,1001014,"Wein weiss, 12.5 vol%",Weisswein,Alkoholhaltige Getränke/Wein,1,pro 100 ml,295,Automatisierte Berechnung,,71,Automatisierte Berechnung,,0,-,5,0,-,5,0,-,5,0,-,5,0,Schätzung,51,"0,1",-,9,"0,1",-,22,0,-,5,0,-,5,"0,2",-,9,0,Automatisierte Berechnung,,10,-,9,89,-,9,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Schätzung,51,0,Schätzung,51,0,Schätzung,51,0,-,9,"0,01",-,9,"0,02",-,9,"0,1",-,9,"0,1",-,9,1,-,9,"0,02",-,9,0,-,22,0,-,5,0,-,5,95,-,9,2,-,9,5,-,9,10,-,9,10,-,9,15,-,9,"0,6",-,9,10,-,9,"0,2",-,9,k.A.,,,Nein
1268,,,Bauernbrot,Burebrot,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",,pro 100g essbarer Anteil,1020,Automatisierte Berechnung,,241,Automatisierte Berechnung,,2,Berechnung anhand von Zutaten,,"0,7",Berechnung anhand von Zutaten,,"0,4",Berechnung anhand von Zutaten,,"0,6",Berechnung anhand von Zutaten,,4,Berechnung anhand von Zutaten,,"44,3",Berechnung anhand von Zutaten,,"2,4",Berechnung anhand von Zutaten,,"41,7",Berechnung anhand von Zutaten,,"4,4",Berechnung anhand von Zutaten,,"9,2",Berechnung anhand von Zutaten,,"1,8",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"40,7",Automatisierte Berechnung,,11,Automatisierte Berechnung,,10,Automatisierte Berechnung,,10,Berechnung anhand von Zutaten,,5,Berechnung anhand von Zutaten,,5,Berechnung anhand von Zutaten,,"0,2",Berechnung anhand von Zutaten,,"0,13",Berechnung anhand von Zutaten,,"0,11",Berechnung anhand von Zutaten,,"0,03",Berechnung anhand von Zutaten,,"1,09",Berechnung anhand von Zutaten,,25,Berechnung anhand von Zutaten,,"0,4",Berechnung anhand von Zutaten,,"0,2",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,33",Berechnung anhand von Zutaten,,200,Berechnung anhand von Zutaten,,710,Berechnung anhand von Zutaten,,1090,Berechnung anhand von Zutaten,,46,Berechnung anhand von Zutaten,,38,Berechnung anhand von Zutaten,,170,Berechnung anhand von Zutaten,,"1,5",Berechnung anhand von Zutaten,,"3,7",Berechnung anhand von Zutaten,,"1,4",Berechnung anhand von Zutaten,,k.A.,,,Ja
831,3596,1001500,Baumnussbrot,,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",,pro 100g essbarer Anteil,1420,Automatisierte Berechnung,,339,Automatisierte Berechnung,,"18,5",Berechnung anhand von Zutaten,,"3,9",Berechnung anhand von Zutaten,,"3,4",Berechnung anhand von Zutaten,,10,Berechnung anhand von Zutaten,,26,Berechnung anhand von Zutaten,,"30,8",Berechnung anhand von Zutaten,,"1,8",Berechnung anhand von Zutaten,,"28,2",Berechnung anhand von Zutaten,,"5,8",Berechnung anhand von Zutaten,,"9,4",Berechnung anhand von Zutaten,,"1,2",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"36,3",Automatisierte Berechnung,,49,Automatisierte Berechnung,,47,Automatisierte Berechnung,,45,Berechnung anhand von Zutaten,,21,Berechnung anhand von Zutaten,,17,Berechnung anhand von Zutaten,,"0,23",Berechnung anhand von Zutaten,,"0,12",Berechnung anhand von Zutaten,,"0,22",Berechnung anhand von Zutaten,,Sp.,Berechnung anhand von Zutaten,,"1,59",Berechnung anhand von Zutaten,,48,Berechnung anhand von Zutaten,,"0,73",Berechnung anhand von Zutaten,,"0,4",Berechnung anhand von Zutaten,,"0,2",Berechnung anhand von Zutaten,,"1,21",Berechnung anhand von Zutaten,,240,Berechnung anhand von Zutaten,,490,Berechnung anhand von Zutaten,,750,Berechnung anhand von Zutaten,,32,Berechnung anhand von Zutaten,,67,Berechnung anhand von Zutaten,,210,Berechnung anhand von Zutaten,,"2,2",Berechnung anhand von Zutaten,,"2,9",Berechnung anhand von Zutaten,,"2,1",Berechnung anhand von Zutaten,,k.A.,,,Nein
10446,,,Brot (Durchschnitt),,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",,pro 100g essbarer Anteil,1110,Automatisierte Berechnung,,264,Automatisierte Berechnung,,"4,6",Berechnung anhand von Zutaten,,"2,3",Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,"0,7",Berechnung anhand von Zutaten,,15,Berechnung anhand von Zutaten,,"44,6",Berechnung anhand von Zutaten,,"1,3",Berechnung anhand von Zutaten,,"42,9",Berechnung anhand von Zutaten,,"3,7",Berechnung anhand von Zutaten,,"9,2",Berechnung anhand von Zutaten,,"1,6",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"38,7",Automatisierte Berechnung,,39,Automatisierte Berechnung,,38,Automatisierte Berechnung,,36,Berechnung anhand von Zutaten,,17,Berechnung anhand von Zutaten,,14,Berechnung anhand von Zutaten,,"0,17",Berechnung anhand von Zutaten,,"0,1",Berechnung anhand von Zutaten,,"0,12",Berechnung anhand von Zutaten,,"0,04",Berechnung anhand von Zutaten,,"1,15",Berechnung anhand von Zutaten,,"21,8",Berechnung anhand von Zutaten,,"0,39",Berechnung anhand von Zutaten,,"0,1",Berechnung anhand von Zutaten,,"0,1",Berechnung anhand von Zutaten,,"0,38",Berechnung anhand von Zutaten,,170,Berechnung anhand von Zutaten,,620,Berechnung anhand von Zutaten,,960,Berechnung anhand von Zutaten,,29,Berechnung anhand von Zutaten,,36,Berechnung anhand von Zutaten,,130,Berechnung anhand von Zutaten,,"1,5",Berechnung anhand von Zutaten,,"2,6",Berechnung anhand von Zutaten,,"1,2",Berechnung anhand von Zutaten,,k.A.,,,Nein
842,3574,1001511,Bürli (halbweiss),,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",,pro 100g essbarer Anteil,912,Automatisierte Berechnung,,215,Automatisierte Berechnung,,1,Berechnung anhand von Zutaten,,"0,2",Berechnung anhand von Zutaten,,"0,2",Berechnung anhand von Zutaten,,"0,5",Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"41,5",Berechnung anhand von Zutaten,,"0,4",Berechnung anhand von Zutaten,,26,Berechnung anhand von Zutaten,,"2,9",Berechnung anhand von Zutaten,,"8,6",Berechnung anhand von Zutaten,,"1,9",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"46,7",Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,15",Berechnung anhand von Zutaten,,"0,06",Berechnung anhand von Zutaten,,"0,12",Berechnung anhand von Zutaten,,Sp.,Berechnung anhand von Zutaten,,"0,66",Berechnung anhand von Zutaten,,"21,1",Berechnung anhand von Zutaten,,"0,31",Berechnung anhand von Zutaten,,Sp.,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,"0,16",Berechnung anhand von Zutaten,,120,Berechnung anhand von Zutaten,,770,Berechnung anhand von Zutaten,,1160,Berechnung anhand von Zutaten,,17,Berechnung anhand von Zutaten,,28,Berechnung anhand von Zutaten,,110,Berechnung anhand von Zutaten,,"1,3",Berechnung anhand von Zutaten,,"0,9",Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,k.A.,,,Nein
836,3702,1001505,"Buttergipfeli, hell",,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren",,pro 100g essbarer Anteil,1810,Automatisierte Berechnung,,432,Automatisierte Berechnung,,"24,2",Berechnung anhand von Zutaten,,"14,2",Berechnung anhand von Zutaten,,"5,7",Berechnung anhand von Zutaten,,"1,5",Berechnung anhand von Zutaten,,75,Berechnung anhand von Zutaten,,"43,5",Berechnung anhand von Zutaten,,"3,3",Berechnung anhand von Zutaten,,"39,8",Berechnung anhand von Zutaten,,"2,6",Berechnung anhand von Zutaten,,"8,8",Berechnung anhand von Zutaten,,"1,2",Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,"21,5",Automatisierte Berechnung,,248,Automatisierte Berechnung,,239,Automatisierte Berechnung,,230,Berechnung anhand von Zutaten,,107,Berechnung anhand von Zutaten,,91,Berechnung anhand von Zutaten,,"0,12",Berechnung anhand von Zutaten,,"0,11",Berechnung anhand von Zutaten,,"0,11",Berechnung anhand von Zutaten,,"0,11",Berechnung anhand von Zutaten,,"0,7",Berechnung anhand von Zutaten,,"21,6",Berechnung anhand von Zutaten,,"0,38",Berechnung anhand von Zutaten,,"0,3",Berechnung anhand von Zutaten,,"0,5",Berechnung anhand von Zutaten,,"0,59",Berechnung anhand von Zutaten,,170,Berechnung anhand von Zutaten,,490,Berechnung anhand von Zutaten,,770,Berechnung anhand von Zutaten,,52,Berechnung anhand von Zutaten,,25,Berechnung anhand von Zutaten,,120,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,"1,9",Berechnung anhand von Zutaten,,"0,9",Berechnung anhand von Zutaten,,k.A.,,,Nein
